review_id,original_text,cleaned_text,sentiment,aspects_str,issue_aspects_str,aspect_polarities_str,label
53576661316421,"খুব ভালো একটি প্রোডাক্ট । ভালো সাউন্ড কোয়ালিটি। চার্জ ও ভালো টিকে, লুক ও ভালো। কিন্তু অল্প সময়ে কানে ব্যাথা ধরে যায়।",খুব ভালো প্রোডাক্ট ভালো সাউন্ড কোয়ালিটি চার্জ ও ভালো টিকে লুক ও ভালো অল্প সময়ে কানে ব্যাথা ধরে যায়,Positive,Product Quality,,product_quality_positive,product_quality_positive
52724795316421,নষ্ট প্রোডাক্ট দিছে। বক্সে চার্জ হয় কিন্তু বার্ডে চার্জ ও হয় না ওন ও হয়না। প্যাকেজিং ও বাজে ছিলো। প্রোডাক্ট দেখেই মনে হচ্ছিল ইউজড। এখন রিটার্ন করা ছাড়া উপাই নাই।,নষ্ট প্রোডাক্ট দিছে বক্সে চার্জ হয় বার্ডে চার্জ ও হয় ওন ও হয়না প্যাকেজিং ও বাজে ছিলো প্রোডাক্ট দেখেই মনে হচ্ছিল ইউজড রিটার্ন ছাড়া উপাই নাই,Negative,Packaging;Product Quality,Packaging;Product Quality,packaging_negative;product_quality_negative,packaging_negative#product_quality_negative
52702994116421,"আলহামদুলিল্লাহ্। যেমন চেয়েছি তেমনই পেয়েছি 
এবং ডেলিভারি ম্যান ভাইটি অনেক ভালো ছিলো
সবাই নিতে পারেন",আলহামদুলিল্লাহ্ চেয়েছি তেমনই পেয়েছি ডেলিভারি ম্যান ভাইটি ভালো ছিলো সবাই নিতে পারেন,Positive,Delivery;Product Quality,,delivery_positive;product_quality_positive,delivery_positive#product_quality_positive
53392045716421,"খুবই ভালো এ দামের ভিতরে এর চেয়ে বেশি আশা করা যায় না সাউন কোয়ালিটি ভালোই ছিল, এখন চার্জ কিরকম থাকে এটা ইউজ করার পরে বুঝতে পারব তবে মোটামুটি অনেক ভালোই ছিল ধন্যবাদ সেলারকে।",খুবই ভালো এ দামের ভিতরে এর চেয়ে আশা যায় সাউন কোয়ালিটি ভালোই চার্জ কিরকম এটা ইউজ করার বুঝতে পারব মোটামুটি ভালোই ধন্যবাদ সেলারকে,Positive,Price;Product Quality,,price_positive;product_quality_positive,price_positive#product_quality_positive
54826942616421,এই পন্য টা মোটামুটি ভালো কিন্তু ব্যটারি বেকাপ ভালো না সাউন্ড কোয়ালিটি ও কম। অনেক খন ব্যবহার করলে কান ব্যাথা করে তাই সবাই কে বলবো একটু বুঝে শুনে কিনুন ✅,পন্য টা মোটামুটি ভালো ব্যটারি বেকাপ ভালো সাউন্ড কোয়ালিটি ও খন ব্যবহার করলে কান ব্যাথা তাই সবাই বলবো বুঝে শুনে কিনুন,Neutral,Product Quality,,product_quality_neutral,product_quality_neutral
53860378216421,"ভাই এটা অনেক ভালো ছিল,কিন্তু আমি এটা প্রথমে আন করতে পারিনি এরপর আমি সব পলিথিন সরানোর পরে অন হয়েছে। আমি এটা পছন্দ করেছি কিন্তু আমার থেকে ডেলিভারিটা অনেক লেট হয়েছে। তাই রেটিং কম দিলাম 😅।",ভাই এটা ভালো আমি এটা প্রথমে আন করতে পারিনি এরপর আমি পলিথিন সরানোর অন হয়েছে আমি এটা পছন্দ করেছি ডেলিভারিটা লেট হয়েছে তাই রেটিং দিলাম,Neutral,Delivery;Product Quality,Delivery,delivery_negative;product_quality_positive,delivery_negative#product_quality_positive
52751081516421,"যথেষ্ট ভালো প্রডাক্ট,,,  সাউন কয়ালিটি ও ডারুন,, কিন্তু চার্জ  কম থাকে😴।   টেনে টুনে সাড়ে তিন ঘন্টাই ব্যাকাপ পাওয়া যায় ,, এর ছাড়াও প্রড্যক্ট ভালো।  

চাইলে নিতে পারেন,,😘",যথেষ্ট ভালো প্রডাক্ট সাউন কয়ালিটি ও ডারুন চার্জ টেনে টুনে সাড়ে তিন ঘন্টাই ব্যাকাপ পাওয়া যায় এর ছাড়াও প্রড্যক্ট ভালো চাইলে নিতে পারেন,Positive,Product Quality,,product_quality_positive,product_quality_positive
52125341416421,আলহামদুলিল্লাহ অনেক ভালো চাইলে নিতে পারেন কোন সমস্যা নাই এই প্রোডাক্টটি পাঁচ দিনের মাথায় আমি আমার হাতে পেয়েছি হাতে পেয়ে দেখলাম অনেক ভালো,আলহামদুলিল্লাহ ভালো চাইলে নিতে পারেন সমস্যা নাই প্রোডাক্টটি পাঁচ দিনের মাথায় আমি হাতে পেয়েছি হাতে পেয়ে দেখলাম ভালো,Neutral,Delivery;Product Quality,Delivery,delivery_negative;product_quality_positive,delivery_negative#product_quality_positive
52834515016421,"এর মতোন বাজ পোডাক্ট এর আগে কখনও দেখিনি 
১৫০ টাকার হেডফোন ৩-৪ ঘণ্টা চার্জ থাকে এটা ৩ মিনিট ও থকে না
৫ ষ্টার দিলাম জাতে সবাই দেখে",এর মতোন বাজ পোডাক্ট এর আগে দেখিনি ১৫০ টাকার হেডফোন ৩ ৪ ঘণ্টা চার্জ এটা ৩ মিনিট ও থকে ৫ ষ্টার দিলাম জাতে সবাই দেখে,Negative,Product Quality,Product Quality,product_quality_negative,product_quality_negative
53821031516421,"জিনিস ভালই সুন্দর আছে জেহুতু গেমিং এর জন্য চাইলে নিতে পারেন।  আর এটা সুধু নামেই গেমিং কিন্তু  কাজে না এটা সাধরন এয়ারবাসের মতই এতে আলাদা কুনো গেমিং মড নাই।  ৩৪৫টাকায় ভালই। আর একটা কথা ১০০টা মাল কিনলে ৮০টাতেই পবলেম থাকে। যেমন আমারটা ডান কানের টার ২০-৩০ ছেগেনটের বেসি চলত না। তাই আমার আগের এয়ারবাসের বেটরি এড করেছি এরপর ভালই ব্যকাব দিচ্ছে ।  ৭দিন ইওজ কারার পর রিভিও দিলাম।   
    আল্লাহাফেজ ❤️‍🩹",জিনিস ভালই সুন্দর জেহুতু গেমিং এর চাইলে নিতে পারেন এটা সুধু নামেই গেমিং কাজে এটা সাধরন এয়ারবাসের মতই এতে আলাদা কুনো গেমিং মড নাই ৩৪৫টাকায় ভালই একটা কথা ১০০টা মাল কিনলে ৮০টাতেই পবলেম আমারটা ডান কানের টার ২০ ৩০ ছেগেনটের বেসি চলত তাই আগের এয়ারবাসের বেটরি এড করেছি এরপর ভালই ব্যকাব দিচ্ছে ৭দিন ইওজ কারার রিভিও দিলাম আল্লাহাফেজ,Positive,Product Quality,,product_quality_positive,product_quality_positive
