review_id,original_text,cleaned_text,language,rating,date,is_annotated,sentiment,aspects_str,issue_aspects_str,aspect_polarities_str,label,image_urls
53576661316421,"খুব ভালো একটি প্রোডাক্ট । ভালো সাউন্ড কোয়ালিটি। চার্জ ও ভালো টিকে, লুক ও ভালো। কিন্তু অল্প সময়ে কানে ব্যাথা ধরে যায়।",খুব ভালো প্রোডাক্ট ভালো সাউন্ড কোয়ালিটি চার্জ ও ভালো টিকে লুক ও ভালো অল্প সময়ে কানে ব্যাথা ধরে যায়,bn,5,21 May 2025,True,Positive,Product Quality,,product_quality_positive,product_quality_positive,https://lzd-u.slatic.net/6249f0ede30c46aeb5c156b99619806d_a16a031fd6634aeaa99554541f321f58.jpg; https://lzd-u.slatic.net/6249f0ede30c46aeb5c156b99619806d_8c8b502b0dc147bd8d8ef50baeb1a179.jpg; https://lzd-u.slatic.net/6249f0ede30c46aeb5c156b99619806d_fa80571792bf46a683ae0a6c88cdf1a7.jpg
52724795316421,নষ্ট প্রোডাক্ট দিছে। বক্সে চার্জ হয় কিন্তু বার্ডে চার্জ ও হয় না ওন ও হয়না। প্যাকেজিং ও বাজে ছিলো। প্রোডাক্ট দেখেই মনে হচ্ছিল ইউজড। এখন রিটার্ন করা ছাড়া উপাই নাই।,নষ্ট প্রোডাক্ট দিছে বক্সে চার্জ হয় বার্ডে চার্জ ও হয় ওন ও হয়না প্যাকেজিং ও বাজে ছিলো প্রোডাক্ট দেখেই মনে হচ্ছিল ইউজড রিটার্ন ছাড়া উপাই নাই,bn,5,11 Mar 2025,True,Negative,Packaging;Product Quality,Packaging;Product Quality,packaging_negative;product_quality_negative,packaging_negative#product_quality_negative,
52702994116421,"আলহামদুলিল্লাহ্। যেমন চেয়েছি তেমনই পেয়েছি 
এবং ডেলিভারি ম্যান ভাইটি অনেক ভালো ছিলো
সবাই নিতে পারেন",আলহামদুলিল্লাহ্ চেয়েছি তেমনই পেয়েছি ডেলিভারি ম্যান ভাইটি ভালো ছিলো সবাই নিতে পারেন,bn,5,10 Mar 2025,True,Positive,Delivery;Product Quality,,delivery_positive;product_quality_positive,delivery_positive#product_quality_positive,https://lzd-u.slatic.net/b084be75c2044dc494a7dd56e6ae218a_1_1741585586.954451.jpg
52571640616421,"পরীক্ষামূলক দৃষ্টিকোণ থেকে দেখতে চেয়েছিলাম সস্তার মধ্যে হেডফোন গুলো কেমন হয়। যা বুঝলাম কোয়ালিটি তেমন‌ই হয় যেমনটা তার দাম‌ হয়। অল্প কিছু অতিরিক্ত
টাকা খরচ করে আরও ভালো নেওয়ার পরামর্শ থাকবে সবার প্রতি",পরীক্ষামূলক দৃষ্টিকোণ দেখতে চেয়েছিলাম সস্তার মধ্যে হেডফোন গুলো কেমন হয় বুঝলাম কোয়ালিটি তেমনই হয় যেমনটা দাম হয় অল্প অতিরিক্ত টাকা খরচ ভালো নেওয়ার পরামর্শ সবার,bn,5,27 Feb 2025,False,,,,,,https://lzd-u.slatic.net/b37252f0eb334d28bd817272beb2fe9a_a015bfb887e34e12809acf7596974c5f.jpg
53392045716421,"খুবই ভালো এ দামের ভিতরে এর চেয়ে বেশি আশা করা যায় না সাউন কোয়ালিটি ভালোই ছিল, এখন চার্জ কিরকম থাকে এটা ইউজ করার পরে বুঝতে পারব তবে মোটামুটি অনেক ভালোই ছিল ধন্যবাদ সেলারকে।",খুবই ভালো এ দামের ভিতরে এর চেয়ে আশা যায় সাউন কোয়ালিটি ভালোই চার্জ কিরকম এটা ইউজ করার বুঝতে পারব মোটামুটি ভালোই ধন্যবাদ সেলারকে,bn,5,05 May 2025,True,Positive,Price;Product Quality,,price_positive;product_quality_positive,price_positive#product_quality_positive,https://lzd-u.slatic.net/040211f9bcb14a95883d8629871828d0_a46730e9212c4e90ae8dccf5ff8ed6fb.jpg
54826942616421,এই পন্য টা মোটামুটি ভালো কিন্তু ব্যটারি বেকাপ ভালো না সাউন্ড কোয়ালিটি ও কম। অনেক খন ব্যবহার করলে কান ব্যাথা করে তাই সবাই কে বলবো একটু বুঝে শুনে কিনুন ✅,পন্য টা মোটামুটি ভালো ব্যটারি বেকাপ ভালো সাউন্ড কোয়ালিটি ও খন ব্যবহার করলে কান ব্যাথা তাই সবাই বলবো বুঝে শুনে কিনুন,bn,5,1 week ago,True,Neutral,Product Quality,,product_quality_neutral,product_quality_neutral,https://lzd-u.slatic.net/dd1ba22d7a2f427dbc4d76ca5801550c_b1ecac2f369e4ef59ab297ecf3fdf6b8.jpg
53860378216421,"ভাই এটা অনেক ভালো ছিল,কিন্তু আমি এটা প্রথমে আন করতে পারিনি এরপর আমি সব পলিথিন সরানোর পরে অন হয়েছে। আমি এটা পছন্দ করেছি কিন্তু আমার থেকে ডেলিভারিটা অনেক লেট হয়েছে। তাই রেটিং কম দিলাম 😅।",ভাই এটা ভালো আমি এটা প্রথমে আন করতে পারিনি এরপর আমি পলিথিন সরানোর অন হয়েছে আমি এটা পছন্দ করেছি ডেলিভারিটা লেট হয়েছে তাই রেটিং দিলাম,bn,4,15 Jun 2025,True,Neutral,Delivery;Product Quality,Delivery,delivery_negative;product_quality_positive,delivery_negative#product_quality_positive,https://lzd-u.slatic.net/d0a57d6d5159446297586a84b736669c_7894ee1dd7a84f57bdb7541899d83f94.jpg; https://lzd-u.slatic.net/d0a57d6d5159446297586a84b736669c_c38b343646c14115ae8704fa7f1a46f9.jpg; https://lzd-u.slatic.net/d0a57d6d5159446297586a84b736669c_40537bb0e3554a41b0ad0ae3a03a6aa2.jpg; https://lzd-u.slatic.net/d0a57d6d5159446297586a84b736669c_cb1cc60fce804575b2c0d97f5926d74b.jpg
52751081516421,"যথেষ্ট ভালো প্রডাক্ট,,,  সাউন কয়ালিটি ও ডারুন,, কিন্তু চার্জ  কম থাকে😴।   টেনে টুনে সাড়ে তিন ঘন্টাই ব্যাকাপ পাওয়া যায় ,, এর ছাড়াও প্রড্যক্ট ভালো।  

চাইলে নিতে পারেন,,😘",যথেষ্ট ভালো প্রডাক্ট সাউন কয়ালিটি ও ডারুন চার্জ টেনে টুনে সাড়ে তিন ঘন্টাই ব্যাকাপ পাওয়া যায় এর ছাড়াও প্রড্যক্ট ভালো চাইলে নিতে পারেন,bn,5,13 Mar 2025,True,Positive,Product Quality,,product_quality_positive,product_quality_positive,https://lzd-u.slatic.net/c963b2fd89ef47aa8de1f2fb6ba2e312_d75d86469e3e49e98d95034278f2e91c.jpg; https://lzd-u.slatic.net/4309b6b6f9f749d19742e67b93997f2e_b88a4aadd0d3485982d8741bf50b9bf5.jpg; https://lzd-u.slatic.net/4309b6b6f9f749d19742e67b93997f2e_de46fc1a564f46a997aae4fa56d90fa3.jpg; https://lzd-u.slatic.net/4309b6b6f9f749d19742e67b93997f2e_c3d9479276b64b9382d068e47362e688.jpg
52125341416421,আলহামদুলিল্লাহ অনেক ভালো চাইলে নিতে পারেন কোন সমস্যা নাই এই প্রোডাক্টটি পাঁচ দিনের মাথায় আমি আমার হাতে পেয়েছি হাতে পেয়ে দেখলাম অনেক ভালো,আলহামদুলিল্লাহ ভালো চাইলে নিতে পারেন সমস্যা নাই প্রোডাক্টটি পাঁচ দিনের মাথায় আমি হাতে পেয়েছি হাতে পেয়ে দেখলাম ভালো,bn,5,19 Jan 2025,True,Neutral,Delivery;Product Quality,Delivery,delivery_negative;product_quality_positive,delivery_negative#product_quality_positive,https://lzd-u.slatic.net/daad1e9029ef4982bc4f46e4de0e0627_80c18bbdbd4b435eb8b0ef80bb5eec75.jpg; https://lzd-u.slatic.net/daad1e9029ef4982bc4f46e4de0e0627_ec6aef7669f0460ebe1d0145cda86294.jpg; https://lzd-u.slatic.net/daad1e9029ef4982bc4f46e4de0e0627_d6890cb2aaed4f2c99e45a3eeb764310.jpg; https://lzd-u.slatic.net/daad1e9029ef4982bc4f46e4de0e0627_e58aaf3a9d5946f2a1ee18f4bf76aa4c.jpg
52834515016421,"এর মতোন বাজ পোডাক্ট এর আগে কখনও দেখিনি 
১৫০ টাকার হেডফোন ৩-৪ ঘণ্টা চার্জ থাকে এটা ৩ মিনিট ও থকে না
৫ ষ্টার দিলাম জাতে সবাই দেখে",এর মতোন বাজ পোডাক্ট এর আগে দেখিনি ১৫০ টাকার হেডফোন ৩ ৪ ঘণ্টা চার্জ এটা ৩ মিনিট ও থকে ৫ ষ্টার দিলাম জাতে সবাই দেখে,bn,5,22 Mar 2025,True,Negative,Product Quality,Product Quality,product_quality_negative,product_quality_negative,https://lzd-u.slatic.net/411ddd365dc046e19c2ac16417e41ce6_1_1742640684.682218.jpg
